,name,purpose,capacity_mcm,pfaf_hdma
1,American_falls,irrigation,2061.5,31249755
2,Amistad,irrigation,6330,392559
4,Bennett,hydropower,74300,3297771
5,Bhumiboi,irrigation,13462,199243
6,Bill_lake,,,
8,charavak,hydropower,2000,NA
9,Dickson,watersupply,203,NA
10,EB_campbell,hydropower,2200,34235
11,Falcon,floodcontrol,3920,39233
12,Flaming_gorge,watesupply,4336.3,3969771
13,Fort_peck,floodcontrol,23560,389951
14,Fort_randall,floodcontrol,6683,NA
15,Garrison,floodcontrol,30220,NA
16,Ghost,hydropower,132,NA
17,Glen_canyon,hydropower,25070,39653
18,Glenmore,,,
20,High_aswan,irrigation,162000,2211933
22,Navajo,irrigation,1278,NA
23,Nurek,irrigation,10500,NA
24,Oahe,floodcontrol,29110,3895991
25,Oldman,irrigation,490,NA
26,Oroville,floodcontrol,4366.5,NA
27,Palisades,irrigation,1480.2,NA
28,Semione,irrigation,1254.8,NA
29,Sirikit,irrigation,9510,1992951
30,St_marry,irrigation,394.7,NA
31,Toktogul,hydroppower,19500,1049153
32,Travers,,,
33,Trinity,irrigation,2633.5,NA
34,Tyuyamuyn,irrigation,6100,
35,Waterton,irrigation,172.7,NA
36,Yellowtail,irrigation,1760.6,NA
